"provincie","stad","gem_vraagprijs","perc_ver_vraagprijs","verk_woningen","perc_ver_verkocht","gem_m2prijs","perc_ver_m2prijs","perc_overboden","perc_ver_overboden","best_inkomen","n_inwoners","perc_pop_stijging","perc_pop_daling"
"Noord-Holland","Aalsmeer",6e+05,50.75,14,-6.67,4294,5.63,10.67,3.42,45800,31859,0.41,NA
"Noord-Holland","Alkmaar",344250,14.75,50,-29.58,3769,8.8,14.05,1.43,36300,109436,0.81,NA
"Noord-Holland","Amstelveen",605000,25.39,25,-47.92,4778,3.04,305.01,296.3,37800,91675,0.92,NA
"Noord-Holland","Amsterdam",450000,7.78,273,-19.47,6911,5.14,16.09,0.34,30100,872757,1.13,NA
"Noord-Holland","Beemster",612000,2,4,-42.86,4311,-3.47,-0.23,-12.1,47300,10022,2.81,NA
"Noord-Holland","Bergen(NH)",515000,-23.42,9,-52.63,5482,14.9,10.31,3.31,41800,29839,NA,0.45
"Noord-Holland","Beverwijk",307000,-3.91,16,-46.67,3704,7.3,15.68,3.71,36300,41626,1.09,NA
"Noord-Holland","Blaricum",1695000,95.39,12,20,9059,87.56,6.19,5.04,49000,11538,3.02,NA
"Noord-Holland","Bloemendaal",1195000,5.05,17,183.33,6456,0.42,12.43,2.74,53800,23571,0.69,NA
"Noord-Holland","Castricum",470000,50.52,12,9.09,3959,8.85,12.3,-2.17,45600,35986,0.6,NA
"Noord-Holland","DenHelder",212500,6.78,24,-29.41,2078,5.64,19.17,3.99,33300,56296,1.24,NA
"Noord-Holland","Diemen",395000,3.4,13,8.33,4545,5.65,18.2,4.47,34000,30780,5.43,NA
"Noord-Holland","Drechterland",365000,-15.12,2,-71.43,2799,-29.14,12.69,2.2,42700,19719,0.62,NA
"Noord-Holland","Edam-Volendam",375000,8.7,7,-58.82,3253,-13.04,3.86,-1.68,45600,36197,0.27,NA
"Noord-Holland","Enkhuizen",395000,51.92,4,-33.33,2870,19.38,14.01,-3.83,35600,18591,0.45,NA
"Noord-Holland","GooiseMeren",512500,-4.21,41,36.67,4602,2.11,10.99,2.86,42800,58055,0.59,NA
"Noord-Holland","Haarlem",5e+05,34.23,111,38.75,5174,12.85,18.66,0.9,36300,162902,1.02,NA
"Noord-Holland","Haarlemmermeer",450000,13.92,63,-7.35,3881,-2.85,14.08,0.31,45200,156002,1.14,NA
"Noord-Holland","Heemskerk",332250,-15.89,16,-23.81,3448,-5.66,17.12,-0.1,39500,39182,0.05,NA
"Noord-Holland","Heemstede",765000,9.29,19,72.73,5515,8.82,17.48,4.48,47600,27234,NA,0.19
"Noord-Holland","Heerhugowaard",325000,4,25,-16.67,2989,5.96,16.59,1.66,41800,57587,1.49,NA
"Noord-Holland","Heiloo",550000,39.24,18,80,4201,3.86,7,-0.53,44000,23968,2.15,NA
