,Provincie,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkochte woningen (t.o.v vorige maand),Gem. m² prijs,%Δ m² prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden),Aantal inwoners,% Populatie stijging,% Populatie daling
0,Noord-Holland,"€ 419,500",                11.87%            ,1167,                -15.13%            ,"€ 4,360",                7.44%            ,28.65%,                15.98%            ,"€ 36,200","2,879,527",0.92%,NA
1,Zuid-Holland,"€ 359,900",                6.17%            ,1497,                -30.60%            ,"€ 3,571",                4.78%            ,20.98%,                10.76%            ,"€ 35,800","3,708,696",0.95%,NA
2,Zeeland,"€ 285,000",                3.64%            ,197,                -30.39%            ,"€ 2,619",                3.27%            ,10.05%,                1.92%            ,"€ 36,900","383,488",0.12%,NA
3,Noord-Brabant,"€ 350,000",                3.24%            ,870,                -40.78%            ,"€ 3,167",                4.42%            ,8.74%,                0.87%            ,"€ 38,100","2,548,585",0.71%,NA
4,Utrecht,"€ 425,000",                9.25%            ,694,                3.27%            ,"€ 4,147",                3.08%            ,13.03%,                1.06%            ,"€ 39,500","1,354,834",0.94%,NA
5,Flevoland,"€ 335,000",                3.08%            ,195,                -25.57%            ,"€ 2,957",                0.65%            ,16.40%,                1.62%            ,"€ 39,500","423,021",1.55%,NA
6,Friesland,"€ 285,000",                3.64%            ,368,                -4.66%            ,"€ 2,433",                -1.54%            ,11.71%,                1.07%            ,"€ 34,900","649,957",0.35%,NA
7,Groningen,"€ 250,000",                11.11%            ,352,                -2.49%            ,"€ 2,526",                5.56%            ,20.27%,                4.51%            ,"€ 30,600","540,009",0.38%,NA
8,Drenthe,"€ 300,000",                1.69%            ,270,                -17.18%            ,"€ 2,500",                2.21%            ,11.58%,                1.09%            ,"€ 37,100","493,682",0.31%,NA
9,Overijssel,"€ 300,000",                1.69%            ,535,                -3.95%            ,"€ 2,683",                4.68%            ,10.50%,                0.65%            ,"€ 36,900","1,162,406",0.52%,NA
10,Gelderland,"€ 349,250",                4.25%            ,855,                -23.32%            ,"€ 3,100",                1.47%            ,13.92%,                3.37%            ,"€ 37,500","2,085,952",0.67%,NA
11,Limburg,"€ 279,000",                1.45%            ,415,                -35.66%            ,"€ 2,467",                5.29%            ,42.52%,                33.65%            ,"€ 34,800","1,117,201",0.10%,NA
