,Straat,Woonplaats,Aantal woningen,Gem. bouwjaar,Gem. woonoppervlakte (m²),Bioscoop (m),Treinstation (m),Busstation (m),School (m),Kinderopvang (m),Supermarkt (m),Besteedbaar inkomen
0,VanMusschenbroekstraat,Tilburg,27,1972,76,1007,1478,336,215,171,497,"€ 17,204"
1,VanOldenbarneveltstraat,Tilburg,32,1957,90,1728,1763,115,430,335,90,"€ 17,204"
2,VanOosterzeestraat,Tilburg,43,1978,116,3389,3201,81,340,105,357,"€ 28,141"
3,VanOtterloostraat,Tilburg,26,2007,173,3172,2979,159,150,101,287,"€ 31,938"
4,VanSassevanYsseltstraat,Tilburg,60,1968,115,968,683,210,381,155,293,"€ 29,597"
5,VanSonstraat,Tilburg,38,1915,119,876,948,116,440,225,234,"€ 17,204"
6,VanSpaanstraat,Tilburg,11,1926,98,1528,1369,193,134,134,617,"€ 21,937"
7,VanSpeijkstraat,Tilburg,39,1964,92,1027,1232,397,194,175,380,"€ 19,024"
8,VanTetterodestraat,Tilburg,70,1974,102,3110,2943,90,275,204,120,"€ 24,008"
9,VanTussenbroekstraat,Tilburg,39,1978,120,2937,2753,82,201,204,292,"€ 29,893"
10,VanVessemstraat,Tilburg,11,1989,85,1052,1469,258,604,84,210,"€ 17,204"
11,Varikstraat,Tilburg,33,2009,247,9619,1399,276,523,61,1065,"€ 33,506"
12,Varkensmarkt,Tilburg,27,1966,161,786,1048,169,537,83,514,"€ 15,605"
13,Varsseveldstraat,Tilburg,178,2007,129,9619,1250,231,372,106,1070,"€ 29,265"
14,Vazalstraat,Tilburg,50,1943,108,1243,1711,165,333,41,396,"€ 23,634"
15,Vecht,Tilburg,4,1987,204,2054,2093,187,201,63,226,-
16,Veemarktstraat,Tilburg,54,2010,271,151,617,105,508,360,164,"€ 17,204"
17,Veenendaalstraat,Tilburg,135,2009,144,8673,1286,253,369,126,1346,"€ 29,407"
18,VeerseMeer,Tilburg,52,1994,220,2817,1778,231,631,392,818,"€ 35,979"
