,Provincie,Stad,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkochte woningen (t.o.v vorige maand),Gem. m² prijs,%Δ m² prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden),Aantal inwoners,% Populatie stijging,% Populatie daling
0,Noord-Holland,Aalsmeer,"€ 600,000",                50.75%            ,14,                -6.67%            ,"€ 4,294",                5.63%            ,10.67%,                3.42%            ,"€ 45,800","31,859",0.41%,NA
1,Noord-Holland,Alkmaar,"€ 344,250",                14.75%            ,50,                -29.58%            ,"€ 3,769",                8.80%            ,14.05%,                1.43%            ,"€ 36,300","109,436",0.81%,NA
2,Noord-Holland,Amstelveen,"€ 605,000",                25.39%            ,25,                -47.92%            ,"€ 4,778",                3.04%            ,305.01%,                296.30%            ,"€ 37,800","91,675",0.92%,NA
3,Noord-Holland,Amsterdam,"€ 450,000",                7.78%            ,273,                -19.47%            ,"€ 6,911",                5.14%            ,16.09%,                0.34%            ,"€ 30,100","872,757",1.13%,NA
4,Noord-Holland,Beemster,"€ 612,000",                2.00%            ,4,                -42.86%            ,"€ 4,311",                -3.47%            ,-0.23%,                -12.10%            ,"€ 47,300","10,022",2.81%,NA
5,Noord-Holland,Bergen(NH),"€ 515,000",                -23.42%            ,9,                -52.63%            ,"€ 5,482",                14.90%            ,10.31%,                3.31%            ,"€ 41,800","29,839",NA,0.45%
6,Noord-Holland,Beverwijk,"€ 307,000",                -3.91%            ,16,                -46.67%            ,"€ 3,704",                7.30%            ,15.68%,                3.71%            ,"€ 36,300","41,626",1.09%,NA
7,Noord-Holland,Blaricum,"€ 1,695,000",                95.39%            ,12,                20.00%            ,"€ 9,059",                87.56%            ,6.19%,                5.04%            ,"€ 49,000","11,538",3.02%,NA
8,Noord-Holland,Bloemendaal,"€ 1,195,000",                5.05%            ,17,                183.33%            ,"€ 6,456",                0.42%            ,12.43%,                2.74%            ,"€ 53,800","23,571",0.69%,NA
9,Noord-Holland,Castricum,"€ 470,000",                50.52%            ,12,                9.09%            ,"€ 3,959",                8.85%            ,12.30%,                -2.17%            ,"€ 45,600","35,986",0.60%,NA
10,Noord-Holland,DenHelder,"€ 212,500",                6.78%            ,24,                -29.41%            ,"€ 2,078",                5.64%            ,19.17%,                3.99%            ,"€ 33,300","56,296",1.24%,NA
11,Noord-Holland,Diemen,"€ 395,000",                3.40%            ,13,                8.33%            ,"€ 4,545",                5.65%            ,18.20%,                4.47%            ,"€ 34,000","30,780",5.43%,NA
12,Noord-Holland,Drechterland,"€ 365,000",                -15.12%            ,2,                -71.43%            ,"€ 2,799",                -29.14%            ,12.69%,                2.20%            ,"€ 42,700","19,719",0.62%,NA
13,Noord-Holland,Edam-Volendam,"€ 375,000",                8.70%            ,7,                -58.82%            ,"€ 3,253",                -13.04%            ,3.86%,                -1.68%            ,"€ 45,600","36,197",0.27%,NA
14,Noord-Holland,Enkhuizen,"€ 395,000",                51.92%            ,4,                -33.33%            ,"€ 2,870",                19.38%            ,14.01%,                -3.83%            ,"€ 35,600","18,591",0.45%,NA
