"Province","City","gem_vraagprijs","perc_ver_vraagprijs","verk_woningen","perc_ver_verkocht","gem_m2prijs","perc_ver_m2prijs","perc_overboden","perc_ver_overboden","best_inkomen","n_inwoners","perc_pop_stijging","perc_pop_daling"
"Noord-Holland","Aalsmeer",685000,57.47,12,-7.69,4476,9.22,10.67,3.42,45800,31859,0.41,NA
"Noord-Holland","Alkmaar",362500,25,38,-39.68,3926,10.62,14.05,1.43,36300,109436,0.81,NA
"Noord-Holland","Amstelveen",570000,18.13,21,-56.25,4724,1.88,305.01,296.3,37800,91675,0.92,NA
"Noord-Holland","Amsterdam",450000,7.78,230,-27.44,6961,5.9,16.1,0.37,30100,872757,1.13,NA
"Noord-Holland","Beemster",612000,-12.26,4,-33.33,4311,-6.89,-0.23,-12.1,47300,10022,2.81,NA
"Noord-Holland","Bergen(NH)",555000,-20.14,6,-57.14,5908,19.02,10.31,3.31,41800,29839,NA,0.45
"Noord-Holland","Beverwijk",307000,2.68,12,-58.62,3707,7.39,15.68,3.71,36300,41626,1.09,NA
"Noord-Holland","Blaricum",1695000,99.41,10,11.11,9059,96.89,6.19,5.04,49000,11538,3.02,NA
"Noord-Holland","Bloemendaal",1195000,-20.2,17,325,6456,6.83,12.43,2.74,53800,23571,0.69,NA
"Noord-Holland","Castricum",470000,66.52,12,33.33,3959,12.7,12.3,-2.17,45600,35986,0.6,NA
"Noord-Holland","DenHelder",197250,-0.88,22,-29.03,2078,5.97,19.17,3.99,33300,56296,1.24,NA
"Noord-Holland","Diemen",410000,7.33,12,0,4773,10.95,18.2,4.47,34000,30780,5.43,NA
"Noord-Holland","Drechterland",365000,-15.12,2,-71.43,2799,-29.14,12.69,2.2,42700,19719,0.62,NA
"Noord-Holland","Edam-Volendam",362500,5.07,6,-60,3597,-3.85,3.86,-1.68,45600,36197,0.27,NA
"Noord-Holland","Enkhuizen",395000,61.22,4,-20,2870,23.02,14.01,-3.83,35600,18591,0.45,NA
"Noord-Holland","GooiseMeren",537500,-6.52,33,13.79,4483,-0.38,10.99,2.86,42800,58055,0.59,NA
"Noord-Holland","Haarlem",5e+05,33.33,101,31.17,5245,14.59,18.66,0.9,36300,162902,1.02,NA
"Noord-Holland","Haarlemmermeer",450000,13.92,53,-20.9,3881,-2.54,14.08,0.31,45200,156002,1.14,NA
"Noord-Holland","Heemskerk",325000,-17.72,13,-38.1,3414,-6.59,17.12,-0.1,39500,39182,0.05,NA
"Noord-Holland","Heemstede",775000,10.71,17,54.55,5515,8.82,17.48,4.48,47600,27234,NA,0.19
"Noord-Holland","Heerhugowaard",350000,7.69,21,-27.59,2989,5.62,16.59,1.66,41800,57587,1.49,NA
"Noord-Holland","Heiloo",525000,32.91,16,77.78,4354,5.17,7,-0.53,44000,23968,2.15,NA
"Noord-Holland","Hilversum",454500,29.86,46,9.52,4232,7.52,13.58,4.13,36500,90831,0.66,NA
"Noord-Holland","HollandsKroon",225000,-18.18,17,-39.29,2433,-18.6,11.23,-2.55,39900,48432,1.29,NA
"Noord-Holland","Hoorn",372000,28.5,20,-45.95,3015,-4.38,14.77,1.44,37400,73261,0.35,NA
"Noord-Holland","Huizen",522500,15.15,14,75,4875,20.34,8.32,-3.36,40700,41273,0,NA
"Noord-Holland","Koggenland",425000,46.55,7,-53.33,3320,6.24,15.81,3.88,44100,22749,0.05,NA
"Noord-Holland","Landsmeer",650000,-18.55,4,300,4677,-8.56,13.12,-2.61,46800,11491,0.03,NA
"Noord-Holland","Langedijk",399000,25.77,7,-50,3324,17.62,8.28,-0.59,43800,28163,0.61,NA
"Noord-Holland","Laren",890000,14.1,8,0,6376,-5.18,8.98,0.77,48800,11282,0.76,NA
"Noord-Holland","Medemblik",387000,0.78,10,-60,3131,-7.8,14.97,4.3,40500,45101,0.65,NA
"Noord-Holland","Oostzaan",587500,48.73,2,-66.67,4478,18.81,7.78,-5.15,46000,9735,NA,0.23
"Noord-Holland","Opmeer",642500,133.64,2,100,3006,20.24,14.55,0.21,41700,11836,0.48,NA
"Noord-Holland","Ouder-Amstel",417500,-16.5,4,-63.64,4796,-7.68,4.45,-1.73,42600,14026,0.79,NA
"Noord-Holland","Purmerend",335000,6.35,26,-42.22,3291,1.26,11.85,1.03,38200,81249,1.41,NA
"Noord-Holland","Schagen",388500,12.77,11,-60.71,3298,-1.05,8.72,-0.4,39900,46483,NA,0.15
"Noord-Holland","StedeBroec",290000,-4.76,7,-50,2992,8.92,13.11,-3.63,39400,21726,0.09,NA
"Noord-Holland","Texel",335000,-10.67,4,-42.86,4020,16.86,2.3,2.83,37000,13575,0.21,NA
"Noord-Holland","Uitgeest",487000,22.52,4,-33.33,3413,-3.07,15.14,-0.77,46700,13666,1.02,NA
"Noord-Holland","Uithoorn",387500,9.15,10,-23.08,3750,8.41,14.49,2.56,42000,29478,0.18,NA
"Noord-Holland","Velsen",325000,-5.52,26,-7.14,3873,14.86,16.49,1.37,38500,68648,0.44,NA
"Noord-Holland","Waterland",575000,15,1,-83.33,4107,-7.71,-0.74,-6.8,44400,17424,0.63,NA
"Noord-Holland","Weesp",289500,-3.5,10,-9.09,4255,-9.53,6.78,-0.76,38100,19738,2.09,NA
"Noord-Holland","Wijdemeren",635000,64.4,6,-33.33,4713,14.5,5.32,0.82,45600,24358,1.44,NA
"Noord-Holland","Wormerland",297000,-24.81,2,-75,3643,6.9,11.28,-7.79,41300,16270,NA,0.36
"Noord-Holland","Zaanstad",347500,-0.43,58,-34.09,3632,0.53,15.17,0.41,36400,156794,0.58,NA
"Noord-Holland","Zandvoort",477000,19.25,8,-38.46,4815,3.04,9.8,2.75,35100,17116,0.62,NA
"Zuid-Holland","Alblasserdam",337500,37.76,9,80,3187,-5.9,10.87,3.38,39800,20165,0.48,NA
"Zuid-Holland","Albrandswaard",419500,-8.8,10,-47.37,3334,-10.81,7.05,0.71,49000,25590,1.26,NA
"Zuid-Holland","AlphenaandenRijn",345000,6.15,46,-19.3,3313,5.41,14.63,4.67,41700,111897,0.82,NA
"Zuid-Holland","Barendrecht",412250,9.93,26,-3.7,3637,5.6,8.06,1.13,48700,48714,0.08,NA
"Zuid-Holland","Bodegraven-Reeuwijk",385000,-3.75,17,21.43,3334,-3.78,10.63,-0.48,45600,34872,1.19,NA
"Zuid-Holland","Brielle",422500,51.43,4,-55.56,3611,33.35,9.9,0.98,44100,17271,0.52,NA
"Zuid-Holland","CapelleaandenIJssel",330000,-1.79,27,-43.75,3072,-4.95,10.69,-0.87,35800,67122,0.45,NA
"Zuid-Holland","Delft",346000,2.06,28,-49.09,4134,4.39,11.01,1.07,27000,103595,0.42,NA
"Zuid-Holland","Dordrecht",275000,2.8,42,-50,2965,5.25,11.78,-1.3,35200,119284,0.53,NA
"Zuid-Holland","Goeree-Overflakkee",291250,-10.38,13,-65.79,2985,4.44,8.05,0.77,40600,50049,0.88,NA
"Zuid-Holland","Gorinchem",290000,4.5,15,-16.67,2969,2.03,8.74,0.02,36000,37022,0.93,NA
"Zuid-Holland","Gouda",395000,38.6,39,-13.33,3369,7.81,11.23,-0.5,36900,73427,0.34,NA
"Zuid-Holland","Hardinxveld-Giessendam",279500,-1.93,5,-16.67,3681,21.25,11.66,6.62,42700,18295,1.35,NA
"Zuid-Holland","Hellevoetsluis",264500,-10.34,16,-44.83,2389,-13.32,10.64,2.93,41100,40142,0.23,NA
"Zuid-Holland","Hendrik-Ido-Ambacht",497500,48.51,10,-33.33,3364,13.3,9.11,1.52,46700,31202,0.76,NA
"Zuid-Holland","Hillegom",395000,2.6,17,30.77,3786,4.88,11.05,-0.46,41600,22209,1.11,NA
"Zuid-Holland","HoekscheWaard",407500,19.5,32,-52.24,3198,5.93,7.89,0.84,44100,87401,0.86,NA
"Zuid-Holland","KaagenBraassem",360000,-26.15,9,12.5,3363,-26.65,9,-0.16,44200,27297,1.6,NA
"Zuid-Holland","Katwijk",4e+05,8.4,17,-50,4166,9.26,12.38,1.03,42200,65753,0.69,NA
"Zuid-Holland","KrimpenaandenIJssel",287500,-16.67,5,-73.68,2946,-3.38,9.91,-0.11,40100,29526,0.51,NA
"Zuid-Holland","Krimpenerwaard",319000,-12.6,17,-22.73,2927,-20.81,6.93,-0.8,41800,56319,0.48,NA
"Zuid-Holland","Lansingerland",4e+05,0,15,-54.55,3783,6.71,10.62,3.43,51800,62384,1.27,NA
"Zuid-Holland","Leiden",384500,-3.87,38,-35.59,4108,4.32,14.3,-1.6,29600,125099,0.16,NA
"Zuid-Holland","Leiderdorp",394250,-0.76,10,-37.5,3880,-2.76,14.88,1.18,42500,27056,NA,0.2
"Zuid-Holland","Leidschendam-Voorburg",375000,10.62,41,-28.07,3762,-1.23,12.61,1.4,37900,76534,1.47,NA
"Zuid-Holland","Lisse",312500,-28.98,8,-42.86,4425,-1.49,11.26,4.15,40700,22955,0.68,NA
"Zuid-Holland","Maassluis",325000,-9.47,9,-57.14,3465,17.82,10.52,-0.44,37200,33213,1.36,NA
"Zuid-Holland","Midden-Delfland",399000,12.39,9,80,3719,-9.91,8.67,-1.08,50100,19341,NA,0.26
"Zuid-Holland","Molenlanden",289000,-32,13,8.33,3391,7.14,3.41,-1.16,45300,43909,0.12,NA
"Zuid-Holland","Nieuwkoop",417000,31.34,11,-21.43,3110,-12.66,14.31,3.86,45800,28811,0.65,NA
"Zuid-Holland","Nissewaard",295000,3.51,12,-73.33,2926,3.58,10.39,1.85,38000,85219,0.5,NA
"Zuid-Holland","Noordwijk",492000,3.58,14,-6.67,3946,-10.52,8.89,4.85,40400,43508,1.51,NA
"Zuid-Holland","Oegstgeest",545000,11.79,12,-14.29,4522,3.24,10.05,2.49,48900,24840,1.69,NA
"Zuid-Holland","Papendrecht",372500,24.17,17,21.43,3134,7.33,10.23,0.77,41100,32136,NA,0.48
"Zuid-Holland","Pijnacker-Nootdorp",452000,6.35,14,-63.16,3776,0.91,13.05,2.81,50600,55308,1.8,NA
"Zuid-Holland","Ridderkerk",325000,3.37,10,-66.67,3261,-5.81,9.93,2.43,36900,46189,NA,0.11
"Zuid-Holland","Rijswijk",266750,-11.08,17,-55.26,3454,2.37,12.69,0.2,34800,54450,1.84,NA
"Zuid-Holland","Rotterdam",375000,15.38,211,-39.37,4089,14.51,11.71,-0.33,29300,651157,1.01,NA
"Zuid-Holland","Schiedam",290000,23.4,21,-65.57,3187,14.72,14.29,1.71,32800,78730,0.94,NA
"Zuid-Holland","'s-Gravenhage",350000,0,222,-24.23,3764,3.89,80.48,69.01,31500,545838,1.49,NA
"Zuid-Holland","Sliedrecht",324000,7.28,4,-76.47,3049,1.6,8.26,-1.11,37600,25220,0.78,NA
"Zuid-Holland","Teylingen",390000,-2.5,15,0,3698,-5.88,10.86,1.54,46000,37440,1.02,NA
"Zuid-Holland","Vlaardingen",339000,54.79,17,-62.22,2946,6.89,11.8,-0.33,33400,73397,1.37,NA
"Zuid-Holland","Voorschoten",439000,59.64,11,-35.29,4028,-3.13,8.74,1.25,45000,25596,0.46,NA
"Zuid-Holland","Waddinxveen",325000,0,12,-14.29,2994,-6.17,10.05,-1.06,42800,29291,3.44,NA
"Zuid-Holland","Wassenaar",750000,34.65,11,-50,5282,14.3,2.18,1.4,44900,26305,0.36,NA
"Zuid-Holland","Westland",394000,1.03,38,-19.15,3820,-0.52,10.09,2.49,43000,110375,1.63,NA
"Zuid-Holland","Westvoorne",695000,-19.42,3,-57.14,5500,21.01,6.38,4.35,45900,14731,0.72,NA
"Zuid-Holland","Zoetermeer",265000,-18.46,35,-49.28,3176,-0.35,14.54,0.94,39200,125285,0.27,NA
"Zuid-Holland","Zoeterwoude",947500,128.86,2,-75,4325,22.18,8.87,2.93,47200,8605,1.83,NA
"Zuid-Holland","Zuidplas",440750,10.19,18,-21.74,3569,10.39,7.87,-0.85,46100,43885,2.63,NA
"Zuid-Holland","Zwijndrecht",319000,8.14,9,-70.97,3016,6.57,10.59,0.33,36500,44737,0.22,NA
"Zeeland","Borsele",205000,-34.92,7,-53.33,2412,5.79,10.93,2.49,41500,22739,NA,0.27
"Zeeland","Goes",354500,22.66,12,-58.62,2897,6.08,10.31,1.69,36600,38082,1.14,NA
"Zeeland","Hulst",2e+05,-36.51,9,-57.14,2195,-5.63,5.41,-1.7,37600,27556,0.12,NA
"Zeeland","Kapelle",399750,70.11,6,-25,2961,10.53,8.04,0.91,43700,12695,NA,0.7
