,Province,City,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkochte woningen (t.o.v vorige maand),Gem. m2 prijs,%Δ M2 prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden),Aantal inwoners,% Populatie stijging,% Populatie daling
0,Noord-Holland,Aalsmeer,"€ 685,000",                57.47%            ,12,                -7.69%            ,"€ 4,476",                9.22%            ,10.67%,                3.42%            ,"€ 45,800","31,859",0.41%,NA
1,Noord-Holland,Alkmaar,"€ 362,500",                25.00%            ,38,                -39.68%            ,"€ 3,926",                10.62%            ,14.05%,                1.43%            ,"€ 36,300","109,436",0.81%,NA
2,Noord-Holland,Amstelveen,"€ 570,000",                18.13%            ,21,                -56.25%            ,"€ 4,724",                1.88%            ,305.01%,                296.30%            ,"€ 37,800","91,675",0.92%,NA
3,Noord-Holland,Amsterdam,"€ 450,000",                7.78%            ,230,                -27.44%            ,"€ 6,961",                5.90%            ,16.10%,                0.37%            ,"€ 30,100","872,757",1.13%,NA
4,Noord-Holland,Beemster,"€ 612,000",                -12.26%            ,4,                -33.33%            ,"€ 4,311",                -6.89%            ,-0.23%,                -12.10%            ,"€ 47,300","10,022",2.81%,NA
5,Noord-Holland,Bergen(NH),"€ 555,000",                -20.14%            ,6,                -57.14%            ,"€ 5,908",                19.02%            ,10.31%,                3.31%            ,"€ 41,800","29,839",NA,0.45%
6,Noord-Holland,Beverwijk,"€ 307,000",                2.68%            ,12,                -58.62%            ,"€ 3,707",                7.39%            ,15.68%,                3.71%            ,"€ 36,300","41,626",1.09%,NA
7,Noord-Holland,Blaricum,"€ 1,695,000",                99.41%            ,10,                11.11%            ,"€ 9,059",                96.89%            ,6.19%,                5.04%            ,"€ 49,000","11,538",3.02%,NA
8,Noord-Holland,Bloemendaal,"€ 1,195,000",                -20.20%            ,17,                325.00%            ,"€ 6,456",                6.83%            ,12.43%,                2.74%            ,"€ 53,800","23,571",0.69%,NA
9,Noord-Holland,Castricum,"€ 470,000",                66.52%            ,12,                33.33%            ,"€ 3,959",                12.70%            ,12.30%,                -2.17%            ,"€ 45,600","35,986",0.60%,NA
