"City","gem_vraagprijs","perc_ver_vraagprijs","verk_woningen","perc_ver_verkocht","gem_m2prijs","perc_ver_m2prijs","perc_overboden","perc_ver_overboden","best_inkomen"
"Aalsmeer",725000,55.41,9,-25,4297,3.19,7.25,-3.13,45800
"Alkmaar",410000,43.86,24,-59.32,4013,13.94,12.67,1.53,36300
"Amstelveen",7e+05,47.37,14,-68.89,5097,10.09,8.71,0.81,37800
"Amsterdam",465000,9.41,166,-43.73,6993,5.52,15.72,1.81,30100
"Beemster",675000,-3.23,3,-50,4299,-7.15,11.87,1.79,47300
"Bergen(NH)",475000,-31.65,3,-78.57,6333,27.58,7,0.99,41800
"Beverwijk",299000,0,9,-67.86,3676,5.88,11.97,-1.07,36300
"Blaricum",1847500,148.82,8,0,9262,105.5,1.15,-3.13,49000
"Bloemendaal",1072500,-28.38,14,250,6429,6.39,9.69,1.82,53800
"Castricum",525000,86.01,9,0,3874,10.28,14.47,4.37,45600
"DenHelder",204500,2.76,14,-48.15,2078,5.97,15.18,-0.56,33300
"Diemen",385000,18.46,9,0,4545,5.45,13.73,0.23,34000
"Drechterland",365000,-19.78,2,-66.67,2799,-26.48,10.49,-8.35,42700
"Edam-Volendam",417000,20.87,2,-84.62,4511,29.89,5.54,4.8,45600
"Enkhuizen",430000,75.51,2,-60,3391,45.35,17.84,0.84,35600
"GooiseMeren",582000,8.79,25,-3.85,4355,-3.09,8.13,-1.38,42800
"Haarlem",5e+05,33.33,83,16.9,5255,14.44,17.76,3.45,36300
"Haarlemmermeer",455000,15.19,40,-37.5,3947,-0.88,13.77,2.87,45200
"Heemskerk",339500,-14.05,7,-63.16,3379,-7.55,17.22,2.96,39500
"Heemstede",785000,12.14,14,40,5396,6.47,13,0.84,47600
"Heerhugowaard",382000,13.19,14,-48.15,3045,4.17,14.93,0.28,41800
"Heiloo",475000,20.25,11,57.14,4583,16.03,7.53,3.18,44000
"Hilversum",495000,34.69,33,-8.33,4577,13.8,9.45,-3.02,36500
"HollandsKroon",233750,-15,8,-66.67,2951,-2.35,13.78,5.39,39900
"Hoorn",392500,36.17,14,-58.82,4064,29.47,13.33,0.19,37400
"Huizen",455000,4.6,10,100,4875,25.51,11.68,4.32,40700
"Koggenland",425000,37.32,5,-64.29,3320,8.82,11.93,-2.77,44100
"Landsmeer",7e+05,-12.28,3,200,4268,-16.56,15.73,-0.32,46800
"Langedijk",449000,34.03,6,-53.85,3320,18.61,8.87,0.44,43800
"Laren",1050000,37.7,5,-28.57,6213,-6.29,8.21,0.34,48800
"Medemblik",345000,-8.49,5,-78.26,3136,-6.56,10.67,-3.76,40500
"Oostzaan",0,NA,0,-100,0,NA,12.93,-0.97,46000
"Opmeer",642500,133.64,2,100,3006,20.24,14.34,4.5,41700
"Ouder-Amstel",555000,12.12,2,-77.78,5557,12.26,6.18,-5.03,42600
