"Province","gem_vraagprijs","perc_ver_vraagprijs","verk_woningen","perc_ver_verkocht","gem_m2prijs","perc_ver_m2prijs","perc_overboden","perc_ver_overboden","best_inkomen","n_inwoners","perc_pop_stijging"
"Noord-Holland",425000,13.33,976,-24.75,4437,9.53,28.66,16,36200,2879527,0.92
"Zuid-Holland",365000,7.67,1283,-38.14,3602,5.54,20.98,10.76,35800,3708696,0.95
"Zeeland",280000,1.82,168,-38.91,2676,5.31,10.05,1.92,36900,383488,0.12
"Noord-Brabant",350000,3.24,738,-46.83,3197,5.37,8.74,0.87,38100,2548585,0.71
"Utrecht",425000,9.25,608,-8.3,4190,4.05,13.03,1.06,39500,1354834,0.94
"Flevoland",339000,4.31,153,-39.53,2982,1.64,16.4,1.69,39500,423021,1.55
"Friesland",285000,3.64,322,-12.74,2429,-1.82,11.71,1.07,34900,649957,0.35
"Groningen",250000,11.11,316,-9.2,2550,6.65,20.27,4.51,30600,540009,0.38
"Drenthe",309000,4.75,236,-25.55,2481,1.31,11.58,1.09,37100,493682,0.31
"Overijssel",3e+05,1.69,457,-16.15,2692,4.42,10.5,0.66,36900,1162406,0.52
"Gelderland",350000,4.48,748,-31.56,3119,2.16,13.94,3.39,37500,2085952,0.67
"Limburg",285000,3.64,376,-38.06,2482,5.8,42.52,33.65,34800,1117201,0.1
