,City,Gem. vraagprijs,%Δ Vraagprijs (t.o.v vorige maand),Verkochte woningen,%Δ Verkochte woningen (t.o.v vorige maand),Gem. m2 prijs,%Δ M2 prijs (t.o.v vorige maand),% Vraagprijs overboden,%Δ Overboden (t.o.v vorige maand),Besteedbaar inkomen (per huishouden)
0,Aalsmeer,"€ 725,000",                55.41%            ,9,                -25.00%            ,"€ 4,297",                3.19%            ,7.25%,                -3.13%            ,"€ 45,800"
1,Alkmaar,"€ 410,000",                43.86%            ,24,                -59.32%            ,"€ 4,013",                13.94%            ,12.67%,                1.53%            ,"€ 36,300"
2,Amstelveen,"€ 700,000",                47.37%            ,14,                -68.89%            ,"€ 5,097",                10.09%            ,8.71%,                0.81%            ,"€ 37,800"
3,Amsterdam,"€ 465,000",                9.41%            ,166,                -43.73%            ,"€ 6,993",                5.52%            ,15.72%,                1.81%            ,"€ 30,100"
4,Beemster,"€ 675,000",                -3.23%            ,3,                -50.00%            ,"€ 4,299",                -7.15%            ,11.87%,                1.79%            ,"€ 47,300"
5,Bergen(NH),"€ 475,000",                -31.65%            ,3,                -78.57%            ,"€ 6,333",                27.58%            ,7.00%,                0.99%            ,"€ 41,800"
6,Beverwijk,"€ 299,000",                0.00%            ,9,                -67.86%            ,"€ 3,676",                5.88%            ,11.97%,                -1.07%            ,"€ 36,300"
7,Blaricum,"€ 1,847,500",                148.82%            ,8,                0.00%            ,"€ 9,262",                105.50%            ,1.15%,                -3.13%            ,"€ 49,000"
8,Bloemendaal,"€ 1,072,500",                -28.38%            ,14,                250.00%            ,"€ 6,429",                6.39%            ,9.69%,                1.82%            ,"€ 53,800"
9,Castricum,"€ 525,000",                86.01%            ,9,                0.00%            ,"€ 3,874",                10.28%            ,14.47%,                4.37%            ,"€ 45,600"
10,DenHelder,"€ 204,500",                2.76%            ,14,                -48.15%            ,"€ 2,078",                5.97%            ,15.18%,                -0.56%            ,"€ 33,300"
11,Diemen,"€ 385,000",                18.46%            ,9,                0.00%            ,"€ 4,545",                5.45%            ,13.73%,                0.23%            ,"€ 34,000"
12,Drechterland,"€ 365,000",                -19.78%            ,2,                -66.67%            ,"€ 2,799",                -26.48%            ,10.49%,                -8.35%            ,"€ 42,700"
13,Edam-Volendam,"€ 417,000",                20.87%            ,2,                -84.62%            ,"€ 4,511",                29.89%            ,5.54%,                4.80%            ,"€ 45,600"
14,Enkhuizen,"€ 430,000",                75.51%            ,2,                -60.00%            ,"€ 3,391",                45.35%            ,17.84%,                0.84%            ,"€ 35,600"
15,GooiseMeren,"€ 582,000",                8.79%            ,25,                -3.85%            ,"€ 4,355",                -3.09%            ,8.13%,                -1.38%            ,"€ 42,800"
16,Haarlem,"€ 500,000",                33.33%            ,83,                16.90%            ,"€ 5,255",                14.44%            ,17.76%,                3.45%            ,"€ 36,300"
17,Haarlemmermeer,"€ 455,000",                15.19%            ,40,                -37.50%            ,"€ 3,947",                -0.88%            ,13.77%,                2.87%            ,"€ 45,200"
